russian,english
я,I
не,Not
что,What
в,V
и,And
ты,You
это,This
на,on
с,With
он,He
мы,We
как,How
вы,You
да,Yes
мне,to me
у,at
нет,No
меня,me
так,So
но,But
а,A
его,his
все,All
она,she
тебя,you
о,O
если,If
за,for
бы,would
тебе,you
они,They
чтобы,to
же,same
есть,There is
просто,Just
из,from
к,To
для,For
ну,Well
хорошо,Fine
здесь,Here
по,By
был,was
знаю,I know
только,only
всё,All
было,was
вас,you
может,Maybe
нас,us
вот,Here
от,from
быть,be
кто,Who
будет,will
почему,Why
вам,to you
их,their
очень,Very
могу,Can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
нужно,need to
сейчас,Now
где,Where
чем,how
хочу,Want
ничего,Nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,You know
п,n
до,to
этом,this
потому,That's why
теперь,Now
думаю,Think
больше,more
её,her
со,with
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,whether
ещё,more
пока,Bye
даже,even
привет,Hello
сказал,said
себя,myself
должен,must
тоже,Same
хочешь,Want
давай,Let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,Then
него,him
ни,neither
тут,here
были,were
конечно,Certainly
правда,Truth
об,about
пожалуйста,Please
тобой,you
сказать,say
сегодня,Today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,Means
сделать,do
всегда,Always
дело,case
можно,Can
ей,to her
должны,should
порядке,ok
без,without
день,day
том,volume
делать,do
хотел,wanted
чего,what
эти,these
много,many
после,after
этим,this
всего,total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,mr
жизнь,life
потом,Then
ней,her
такой,such
который,which
всех,everyone
через,through
им,them
немного,A little
такое,such
слишком,too much
себе,to myself
зачем,For what
должна,should
люди,People
знаете,you know
этой,this
думаешь,you think
свою,my
точно,exactly
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,because of
эту,this
можем,Can
случилось,happened
мама,Mother
мог,could
вместе,together
отец,father
сделал,did
мои,my
кажется,Seems
друг,Friend
куда,Where
никто,nobody
поэтому,That's why
эта,this
которые,which
два,two
тот,That
сколько,How many
понимаю,Understand
снова,again
жизни,life
нравится,like
людей,people
помочь,help
видел,saw
люблю,I love
место,place
знать,know
кто-то,someone
прости,I'm sorry
похоже,Seems like
парень,boy
домой,home
всем,everyone
деньги,money
иди,go
времени,time
дома,Houses
именно,exactly
думал,thought
говорил,spoke
делаешь,are you doing
будем,we will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,isn't it
слушай,Listen
своей,his
лишь,only
ага,yeah
можете,you can
простите,Sorry
хотела,wanted
сам,myself
что-нибудь,anything
тем,those
будешь,you will
прошу,please
три,three
деле,in fact
хотите,want
говорить,speak
давайте,Let's
совсем,at all
знал,knew
знает,knows
какой,Which
моего,my
скажи,Tell
дом,house
дела,affairs
вами,you
свои,their
говорит,speaks
несколько,some
должно,should
про,about
происходит,is happening
жаль,sorry
туда,there
действительно,really
папа,dad
завтра,Tomorrow
оно,it
черт,crap
одна,one
перед,before
наш,our
отсюда,from here
нужна,needed
самом,himself
тех,those
нужен,needed
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,every
твоей,yours
будут,will
хватит,enough
понял,Understood
уж,really
имя,Name
против,against
кое-что,something
пор,since then
чём,how
раньше,earlier
говорю,I say
более,more
надеюсь,Hope
итак,So
при,at
ваша,yours
вообще,at all
пошли,went
мать,mother
нельзя,it is forbidden
наверное,Maybe
нами,us
твои,yours
дай,give me
ради,for the sake of
всю,all
ребята,Guys
ко,co
хотя,Although
понимаешь,understand
идти,go
откуда,where
такая,like this
ясно,It's clear
другой,another
извините,Sorry
вижу,I see
видеть,see
над,over
могут,can
равно,equals
мисс,miss
скоро,soon
будто,as if
зовут,name is
виду,mind
наши,our
думала,I thought
послушай,listen
между,between
своего,his
вопрос,question
этому,this
почти,almost
человека,person
которая,which
подожди,Wait
руки,hands
нормально,Fine
такие,such
возьми,take it
извини,sorry
вещи,things
могла,could
смотри,Look
хоть,at least
работа,Job
пару,a couple
сын,son
ваше,yours
дня,day
пора,it's time
неё,her
жить,live
видишь,you see
достаточно,enough
господи,God
быстро,fast
твою,yours
весь,all
убить,kill
ночь,night
говоришь,you say
собой,yourself
скажу,I'll tell you
готов,ready
слышал,heard
какая,which
посмотри,look
первый,first
самое,the most
видела,saw
пусть,let
месте,place
нашли,found
сказали,they said
плохо,Badly
смогу,I can
ваши,yours
отца,father
детей,children
рад,glad
прав,rights
никаких,no
имею,I have
миссис,Mrs.
иногда,Sometimes
смерти,death
своих,their
пойду,I'll go
брат,Brother
вроде,like
рядом,near
мир,world
произошло,happened
которую,which
сделала,did
говорила,spoke
знала,knew
мое,my
одного,one
таким,like this
помощь,help
такого,such
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,our
говорят,They say
правильно,Right
убил,killed
одно,one
пойти,go
друга,friend
сама,herself
долго,for a long time
работать,work
дверь,door
делает,does
женщина,woman
важно,important
будь,be
собираюсь,going to
вашей,yours
нужны,needed
здорово,Great
номер,number
проблема,problem
проблемы,problems
денег,money
чёрт,crap
хороший,good
твоего,yours
дальше,further
вернуться,come back
давно,for a long time
последний,last
ночи,nights
узнать,to know
уверена,sure
машину,car
права,rights
пять,five
моих,my
также,Also
тому,that
вечером,In the evening
дети,children
опять,again
вообще-то,actually
серьезно,seriously
работает,works
своим,his
сначала,at first
две,two
одной,one
моим,mine
те,those
жена,wife
думаете,think
помнишь,remember
глаза,eyes
ними,them
чувак,dude
ночью,at night
чувствую,feel
взять,take
сразу,straightaway
утром,in the morning
часть,Part
придется,will have to
стать,become
идея,idea
дорогая,Expensive
прекрасно,Wonderful
слова,words
сделали,done
видели,saw
сердце,heart
помню,I remember
парня,guy
момент,moment
утро,morning
здравствуйте,Hello
стал,became
ох,Oh
большой,big
кто-нибудь,anyone
часов,hours
год,year
друзья,Friends
сильно,strongly
говори,speak
смысле,sense
которой,which
уйти,leave
капитан,captain
работы,work
любовь,Love
дочь,daughter
новый,new
боюсь,I'm afraid
имеет,has
стой,stop
дней,days
той,that
голову,head
ах,Oh
столько,so many
понятно,It's clear
дать,give
девушка,young woman
довольно,enough
вечер,evening
оба,both
пойдем,let's go
увидимся,see you
шанс,chance
хорошая,good
прежде,before
сделаю,I'll do it
какого,what
быстрее,faster
понять,understand
рассказать,tell
вашего,your
бог,God
интересно,Interesting
затем,then
умер,died
обо,about
никого,no one
парни,guys
самый,most
твое,yours
вон,over there
чтоб,so that
поверить,believe
слово,word
будете,you will
нашел,found
милая,Darling
странно,Weird
какие,which
ой,Ouch
однажды,one day
сможешь,you can
получить,get
обычно,usually
ума,crazy
полагаю,I guess
алло,Hello
посмотреть,look
наших,our
тело,body
хотели,wanted
свое,yours
пришли,came
моё,my
другие,other
выглядит,looks
подумал,thought
лицо,face
приятно,Nice
мам,mom
говорите,speak
обратно,back
нашего,our
телефон,telephone
мире,world
господин,sir
доброе,Kind
план,plan
другом,friend
час,hour
джон,John
пути,ways
делал,did
типа,type
посмотрим,We'll see
насколько,how much
пытался,tried
правду,the truth
решил,decided
поздно,late
нем,him
работе,work
хотят,want
кому,to whom
сестра,sister
какой-то,some kind
места,places
кого-то,someone
скажешь,you say
следующий,next
других,others
получил,received
кстати,By the way
говорили,talked
пришла,came
безопасности,security
рада,glad
когда-нибудь,some day
город,city
внимание,attention
кофе,coffee
которое,which
вся,all
семья,family
конец,end
позже,Later
дал,gave
думать,think
спать,sleep
вернулся,back
остаться,stay
некоторые,some
кровь,blood
оружие,weapon
пришлось,had to
хуже,worse
дорогой,Expensive
полиция,police
сможем,we can
понимаете,you understand
четыре,four
ужасно,terrible
ждать,wait
способ,way
делаю,I do
готовы,ready
совершенно,absolutely
смотреть,look
вернусь,I'll be back
большое,big
единственный,the only one
вперед,forward
часа,hours
где-то,somewhere
муж,husband
идет,coming
таких,such
ребенка,child
машина,car
стороны,sides
смог,smog
сына,son
играть,play
сами,themselves
верю,I believe
честно,Honestly
нашла,found
звучит,sounds
угодно,whatever
как-то,somehow
руку,hand
начала,started
перевод,translation
какое,which
взял,took
станет,will become
пытаюсь,I'm trying
внутри,inside
знали,knew
новости,news
добрый,Kind
подождите,Wait
скажите,Tell
ребенок,child
вашу,yours
мальчик,boy
осталось,left
делаете,do
году,year
мере,least
поняла,Understood
отношения,relationship
далеко,far
вокруг,around
хотим,we want
слышала,I heard
двух,two
приятель,buddy
никому,no one
мужчина,man
неделю,a week
вернуть,return
смерть,death
сих,these
сможет,can
the,the
дайте,give me
двое,two
видите,see
долларов,dollars
крови,blood
решение,solution
путь,path
следует,should
неужели,really
около,near
готова,ready
семьи,families
идем,let's go
смотрите,look
круто,Cool
история,story
вдруг,suddenly
спросить,ask
i,i
твоих,yours
второй,second
вина,guilt
джек,Jack
женщины,women
нашу,our
заткнись,shut up
минуту,minute
собираешься,are you going to
твоим,yours
шоу,show
прощения,forgiveness
больно,hurt
машины,cars
пап,dad
трудно,difficult
постоянно,constantly
поможет,will help
проблем,problems
например,For example
дерьмо,shit
полиции,police
начать,begin
знают,know
лучший,best
добро,good
спасти,save
рождения,birth
оставить,leave
чарли,Charlie
любишь,you love
конце,end
забыл,forgot
часто,often
мило,cute
комнате,room
нему,him
матери,mothers
милый,Cute
полностью,fully
школе,school
леди,lady
убили,killed
случай,happening
джо,Joe
убийство,murder
послушайте,listen
посмотрите,look
пошел,went
никакого,no
сделаем,let's do it
говоря,speaking
неплохо,not bad
использовать,use
прошлой,last
иду,I'm coming
узнал,found out
прекрати,stop it
чуть,a little
держи,hold
невозможно,impossible
господа,gentlemen
слушайте,listen
наше,our
машине,car
сэм,Sam
свет,light
образом,way
иметь,have
другое,other
другого,another
шесть,six
людям,people
погоди,wait a minute
имени,name
детка,Babe
недели,weeks
меньше,less
легко,easily
крайней,extreme
девочка,girl
придётся,will have to
мало,few
ненавижу,I hate
you,you
последние,latest
насчёт,about
выглядишь,you look
сообщение,message
думает,thinks
друзей,friends
обещаю,I promise
агент,agent
вместо,instead of
последнее,last
самого,himself
настолько,so
ответ,answer
детектив,detective
понятия,concepts
родители,parents
показать,show
поехали,let's go
стало,became
мэм,ma'am
своими,their
всей,all
очевидно,obviously
помогите,Help
маленький,small
школу,school
пожаловать,welcome
твоё,yours
либо,or
забрать,take
прошло,passed
особенно,especially
имеешь,you have
истории,history
эм,Em
вопросы,questions
большая,big
минутку,just a minute
пол,floor
остановить,stop
чему,why
свидания,dates
обязательно,Necessarily
городе,city
убийца,murderer
сделай,do it
a,a
ваших,yours
любви,love
спокойной,calm
б,b
своё,yours
мадам,madam
идите,go
выйти,get out
делают,do
немедленно,immediately
делай,do
возможность,opportunity
бывает,It happens
ужин,dinner
моем,my
купить,buy
позвонить,call
наконец,finally
стала,became
любой,any
клянусь,I swear
смешно,funny
абсолютно,absolutely
всему,everything
переводчики,translators
забудь,forget
секунду,second
выбор,choice
тысяч,thousand
потерял,lost
майкл,Michael
волнуйся,worry
ноги,legs
таком,like this
настоящий,real
означает,means
встретиться,meet
известно,known
работаю,Working
замечательно,Amazing
любом,any
оставь,leave it
связи,communications
боль,pain
выпить,drink
представить,introduce
убийства,murders
малыш,Baby
умерла,died
воды,water
окей,OK
речь,speech
хорошие,good
поводу,about
перестань,stop it
увидел,saw
повезло,lucky
президент,president
мужик,man
которым,which
прошлом,past
дам,I'll give
десять,ten
умереть,die
поговорим,let's talk
искать,search
тихо,quiet
оставил,left
пистолет,gun
начал,started
сложно,difficult
города,cities
неделе,week
хотелось,I wanted
принять,accept
историю,history
босс,boss
держать,hold
пойдём,let's go
подумала,I thought
фильм,movie
слышишь,can you hear
рано,early
удачи,Good luck
еду,I'm going
словно,as if
причина,cause
пришёл,came
э,uh
компании,companies
спокойно,calmly
работал,worked
подумать,think
вести,lead
вещь,thing
брата,brother
конца,end
получится,it will work out
блин,Crap
право,right
ввиду,in view of
бога,god
по-моему,in my opinion
подарок,present
комнату,room
мира,peace
успокойся,calm down
позволить,allow
моему,my
идёт,coming
рассказал,told
курсе,course
намного,much
мистера,Mr.
женщин,women
тяжело,hard
ух,uh
предложение,offer
одним,one
